cohort,fee_bps,compare,cagr_left,cagr_right,cagr_delta,sharpe_left,sharpe_right,sharpe_delta,n_obs
start_2020_no_dot,50,daily_minus_buyhold,0.4795760671130902,0.4052541272916219,0.07432193982146829,0.8997951780132117,0.8283169541578176,0.07147822385539415,2404
start_2020_no_dot,50,weekly_minus_buyhold,0.5356873652052674,0.4052541272916219,0.13043323791364547,0.9465001345229903,0.8283169541578176,0.11818318036517272,2404
start_2020_no_dot,50,monthly_minus_buyhold,0.5808339327503456,0.4052541272916219,0.17557980545872365,0.9795937008104512,0.8283169541578176,0.15127674665263358,2404
start_2020_no_dot,50,daily_minus_monthly,0.4795760671130902,0.5808339327503456,-0.10125786563725536,0.8997951780132117,0.9795937008104512,-0.07979852279723942,2404
exclude_dot_same_window,0,daily_minus_buyhold,0.3745358506172334,0.293748256402951,0.08078759421428239,0.7991958531421797,0.7249674958640473,0.07422835727813237,2172
exclude_dot_same_window,0,weekly_minus_buyhold,0.40043233503134634,0.293748256402951,0.10668407862839535,0.8230770063530403,0.7249674958640473,0.09810951048899297,2172
exclude_dot_same_window,0,monthly_minus_buyhold,0.4346688355161663,0.293748256402951,0.14092057911321532,0.8517743421694547,0.7249674958640473,0.1268068463054074,2172
exclude_dot_same_window,0,daily_minus_monthly,0.3745358506172334,0.4346688355161663,-0.06013298489893293,0.7991958531421797,0.8517743421694547,-0.05257848902727502,2172
exclude_dot_same_window,5,daily_minus_buyhold,0.3701190839910278,0.2936323396221243,0.07648674436890346,0.7948929394261598,0.7248679418316822,0.07002499759447756,2172
exclude_dot_same_window,5,weekly_minus_buyhold,0.3984750432994224,0.2936323396221243,0.10484270367729809,0.8212261561040791,0.7248679418316822,0.09635821427239688,2172
exclude_dot_same_window,5,monthly_minus_buyhold,0.4335117770019745,0.2936323396221243,0.1398794373798502,0.8507223665823856,0.7248679418316822,0.1258544247507034,2172
exclude_dot_same_window,5,daily_minus_monthly,0.3701190839910278,0.4335117770019745,-0.06339269301094674,0.7948929394261598,0.8507223665823856,-0.05582942715622585,2172
exclude_dot_same_window,10,daily_minus_buyhold,0.3657163765488467,0.29351637139670106,0.07220000515214564,0.7905898552850882,0.7247683506042734,0.06582150468081482,2172
exclude_dot_same_window,10,weekly_minus_buyhold,0.396520336111023,0.29351637139670106,0.10300396471432194,0.8193752090075196,0.7247683506042734,0.09460685840324623,2172
exclude_dot_same_window,10,monthly_minus_buyhold,0.43235548385559097,0.29351637139670106,0.1388391124588899,0.8496702288847974,0.7247683506042734,0.12490187828052401,2172
exclude_dot_same_window,10,daily_minus_monthly,0.3657163765488467,0.43235548385559097,-0.06663910730674427,0.7905898552850882,0.8496702288847974,-0.05908037359970919,2172
exclude_dot_same_window,20,daily_minus_buyhold,0.3569529617698486,0.29328428041078514,0.06366868135906345,0.7819831816336571,0.7245690566341572,0.05741412499949994,2172
exclude_dot_same_window,20,weekly_minus_buyhold,0.3926186622591097,0.29328428041078514,0.09933438184832455,0.8156730280583442,0.7245690566341572,0.09110397142418702,2172
exclude_dot_same_window,20,monthly_minus_buyhold,0.43004519187068024,0.29328428041078514,0.1367609114598951,0.8475654695573664,0.7245690566341572,0.12299641292320929,2172
exclude_dot_same_window,20,daily_minus_monthly,0.3569529617698486,0.43004519187068024,-0.07309223010083166,0.7819831816336571,0.8475654695573664,-0.06558228792370935,2172
exclude_dot_same_window,50,daily_minus_buyhold,0.33099554918040597,0.2925867675356755,0.038408781644730494,0.7561592240759546,0.7239702838615076,0.03218894021444696,2172
exclude_dot_same_window,50,weekly_minus_buyhold,0.38097532971680814,0.2925867675356755,0.08838856218113267,0.8045642593375982,0.7239702838615076,0.0805939754760906,2172
exclude_dot_same_window,50,monthly_minus_buyhold,0.42313263809580004,0.2925867675356755,0.13054587056012457,0.8412473633538246,0.7239702838615076,0.11727707949231692,2172
exclude_dot_same_window,50,daily_minus_monthly,0.33099554918040597,0.42313263809580004,-0.09213708891539407,0.7561592240759546,0.8412473633538246,-0.08508813927786996,2172
